Source User,Application,Category,Verdict,AD Group,Bytes
example_domain\mr.dds,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,3.10E+11
example_domain\mr.dds,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,591261321
example_domain\mr.dds,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,334145579
example_domain\mr.dds,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,299739764
example_domain\mr.dds,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,196884477
example_domain\mr.dds,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,93651845
example_domain\mr.dds,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,85901790
example_domain\mr.dds,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,84109613
example_domain\mr.dds,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,51991315
example_domain\mr.dds,giphy-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,36755026
example_domain\mr.dds,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,31839520
example_domain\mr.dds,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,8398236
example_domain\mr.dds,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,7417009
example_domain\mr.dds,workday-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,4173518
example_domain\mr.dds,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,1934722
example_domain\mr.dds,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,1178445
example_domain\mr.dds,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,743104
example_domain\mr.dds,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,263087
example_domain\mr.dds,cust-beyond-trust-ssl,remote-access,"Error during policy testing: Unrecognized application
Error parsing arguments
",unknown,245758
example_domain\mr.dds,brightcove,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,191372
example_domain\mr.dds,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,181578
example_domain\mr.dds,cust-greenhouse-s3,general-business,"Error during policy testing: Unrecognized application
Error parsing arguments
",unknown,146947
example_domain\mr.dds,pingone,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,142293
example_domain\mr.dds,ms-powerpoint-online,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,141520
example_domain\mr.dds,facebook-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,85276
example_domain\veronica.dillon,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2.33E+11
example_domain\veronica.dillon,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,844548716
example_domain\veronica.dillon,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,355270082
example_domain\veronica.dillon,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,294471989
example_domain\veronica.dillon,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,228208333
example_domain\veronica.dillon,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,204888826
